product_id,name,category,price,stock
1,Diverse human-resource productivity,Electronics,524.01,335
2,Adaptive background circuit,Clothing,912.13,345
3,Phased radical Internet solution,Furniture,560.12,974
4,Cross-group asymmetric firmware,Furniture,508.28,83
5,Face-to-face holistic artificial intelligence,Furniture,43.67,552
6,Robust 5thgeneration success,Electronics,1999.82,358
7,Networked impactful pricing structure,Clothing,1302.04,799
8,Streamlined multi-state forecast,Electronics,1509.7,972
9,Universal radical approach,Clothing,402.72,20
10,Vision-oriented context-sensitive productivity,Sports,309.0,129
11,Proactive leadingedge access,Furniture,1340.57,577
12,Exclusive stable website,Clothing,932.74,262
13,Programmable executive core,Food,339.74,621
14,Automated zero tolerance policy,Electronics,1556.69,167
15,Profound multi-state standardization,Food,220.66,26
16,Focused reciprocal concept,Food,1153.71,929
17,Synergistic 5thgeneration hierarchy,Furniture,796.33,732
18,Front-line solution-oriented ability,Clothing,156.61,707
19,Diverse background focus group,Clothing,208.29,791
20,Vision-oriented impactful help-desk,Food,1701.34,614
21,Synchronized hybrid initiative,Electronics,1593.47,579
22,Reverse-engineered dedicated model,Electronics,697.67,438
23,Advanced user-facing strategy,Food,142.57,663
24,Cloned background neural-net,Food,30.24,430
25,Horizontal uniform open architecture,Furniture,215.55,983
26,Reduced grid-enabled hardware,Food,1272.99,848
27,Grass-roots directional portal,Furniture,1416.08,445
28,Ergonomic logistical initiative,Clothing,1468.92,988
29,Re-engineered 24hour firmware,Food,1233.75,941
30,Enhanced incremental middleware,Sports,1550.41,476
31,Customer-focused next generation archive,Furniture,1652.34,606
32,Profit-focused explicit Graphical User Interface,Food,648.0,251
33,Customizable multimedia extranet,Electronics,561.46,461
34,Public-key object-oriented extranet,Clothing,1502.2,583
35,Team-oriented leadingedge implementation,Sports,1338.04,344
36,Re-contextualized mission-critical throughput,Electronics,991.14,332
37,Fully-configurable web-enabled Graphical User Interface,Clothing,977.66,363
38,Vision-oriented logistical software,Food,683.98,901
39,Persevering optimizing algorithm,Sports,1403.86,282
40,Polarized bifurcated firmware,Sports,25.25,970
41,Cloned homogeneous productivity,Clothing,175.8,737
42,Face-to-face systematic standardization,Furniture,979.71,776
43,Focused foreground installation,Clothing,1382.77,661
44,Multi-channeled multi-state monitoring,Furniture,899.11,17
45,Advanced tangible firmware,Electronics,592.0,414
46,Fully-configurable executive array,Clothing,615.88,595
47,Open-architected systematic synergy,Food,949.15,543
48,Mandatory asynchronous neural-net,Food,853.88,763
49,Enhanced methodical functionalities,Sports,664.93,719
50,Multi-channeled didactic orchestration,Furniture,545.48,257
51,Future-proofed contextually-based synergy,Clothing,245.71,197
52,Synergized content-based methodology,Food,243.51,548
53,User-centric dedicated encoding,Clothing,387.12,756
54,User-centric disintermediate firmware,Furniture,556.62,603
55,Expanded discrete customer loyalty,Sports,1195.6,102
56,Fully-configurable regional help-desk,Clothing,596.01,369
57,Distributed zero-defect benchmark,Clothing,608.02,725
58,Decentralized attitude-oriented service-desk,Sports,257.53,46
59,Switchable modular pricing structure,Electronics,1108.95,714
60,Adaptive well-modulated moratorium,Clothing,1277.55,770
61,Balanced mission-critical hub,Furniture,209.66,12
62,Secured foreground methodology,Sports,572.26,490
63,Re-engineered even-keeled matrix,Furniture,684.71,988
64,Enterprise-wide well-modulated migration,Electronics,508.69,882
65,Grass-roots hybrid definition,Furniture,232.6,66
66,Versatile object-oriented capacity,Furniture,986.03,590
67,Business-focused multi-tasking website,Electronics,307.7,830
68,Optimized mission-critical moratorium,Sports,1898.51,87
69,Automated motivating hardware,Clothing,241.31,782
70,Object-based systemic time-frame,Furniture,1214.6,809
71,Enhanced logistical capability,Sports,455.25,535
72,Total multi-state knowledgebase,Furniture,903.78,453
73,Intuitive system-worthy access,Food,1721.03,439
74,Advanced systematic database,Food,1139.42,61
75,Multi-tiered optimal attitude,Sports,1920.42,101
76,Inverse high-level pricing structure,Clothing,1252.9,270
77,Fundamental contextually-based neural-net,Electronics,318.33,177
78,Fundamental disintermediate flexibility,Sports,154.75,2
79,Phased reciprocal Graphical User Interface,Furniture,903.75,608
80,Multi-lateral contextually-based methodology,Furniture,586.06,237
81,Optimized demand-driven instruction set,Food,1415.38,719
82,Total web-enabled hub,Furniture,147.0,239
83,Multi-lateral impactful focus group,Food,1576.72,640
84,Organized contextually-based orchestration,Sports,1324.06,956
85,De-engineered object-oriented software,Clothing,853.15,557
86,Focused bandwidth-monitored success,Clothing,1297.03,930
87,Future-proofed disintermediate open architecture,Food,1654.13,73
88,Optional homogeneous customer loyalty,Electronics,336.02,314
89,Digitized user-facing collaboration,Sports,1499.17,582
90,Phased 24/7 conglomeration,Food,881.11,479
91,Operative modular challenge,Food,1400.97,965
92,Self-enabling multi-state monitoring,Food,1003.44,505
93,Up-sized foreground toolset,Furniture,165.48,40
94,Pre-emptive exuding extranet,Furniture,1470.4,618
95,Realigned non-volatile application,Food,56.6,234
96,Object-based bandwidth-monitored solution,Sports,1176.31,21
97,Diverse analyzing data-warehouse,Food,1154.61,781
98,Function-based methodical product,Clothing,943.65,667
99,Cross-platform local synergy,Furniture,1832.57,185
100,Managed empowering hierarchy,Sports,874.59,833
101,Multi-lateral next generation open architecture,Furniture,1938.27,481
102,Function-based grid-enabled adapter,Food,819.65,328
103,Open-source bottom-line hardware,Electronics,1716.18,337
104,Synergistic real-time customer loyalty,Furniture,1388.88,295
105,Re-engineered object-oriented projection,Furniture,1628.06,563
106,Streamlined national conglomeration,Electronics,912.38,322
107,Vision-oriented executive help-desk,Food,649.93,993
108,Inverse systematic migration,Furniture,1730.5,844
109,Pre-emptive zero-defect support,Electronics,1317.03,555
110,Organized attitude-oriented implementation,Furniture,829.43,192
111,Seamless executive Local Area Network,Sports,726.75,774
112,Self-enabling client-server concept,Furniture,1252.69,778
113,Sharable global instruction set,Electronics,411.1,562
114,Self-enabling reciprocal orchestration,Clothing,1855.71,448
115,Open-architected asynchronous artificial intelligence,Furniture,247.25,996
116,Diverse global emulation,Sports,1599.63,726
117,Intuitive foreground projection,Clothing,624.95,14
118,Implemented tertiary flexibility,Sports,818.94,230
119,Robust secondary infrastructure,Electronics,925.59,120
120,Future-proofed leadingedge time-frame,Clothing,999.26,733
121,Multi-lateral value-added parallelism,Food,1020.2,279
122,Programmable local installation,Furniture,1670.27,483
123,Down-sized contextually-based adapter,Clothing,916.29,148
124,De-engineered upward-trending encoding,Furniture,385.27,613
125,Switchable eco-centric synergy,Sports,1493.85,139
126,Total value-added artificial intelligence,Electronics,556.11,808
127,Expanded composite infrastructure,Furniture,683.05,806
128,Customer-focused bandwidth-monitored architecture,Sports,538.01,2
129,Phased neutral application,Food,1453.47,857
130,Assimilated zero administration infrastructure,Sports,1161.95,675
131,Progressive well-modulated artificial intelligence,Furniture,1731.19,457
132,Customer-focused empowering process improvement,Sports,971.26,340
133,Distributed attitude-oriented projection,Sports,1526.93,386
134,Networked fault-tolerant emulation,Furniture,1866.04,890
135,Fully-configurable user-facing forecast,Clothing,1961.65,244
136,Organic responsive capacity,Sports,769.03,876
137,De-engineered multi-tasking concept,Furniture,92.08,762
138,Assimilated 5thgeneration protocol,Furniture,1411.93,830
139,Multi-channeled fresh-thinking leverage,Furniture,775.23,679
140,Persistent needs-based flexibility,Clothing,993.18,37
